iter	Passed	Remaining
0	121	121626
1	193	96628
2	260	86666
3	327	81473
4	396	78934
5	467	77527
6	544	77210
7	623	77312
8	694	76435
9	763	75558
10	833	74912
11	904	74442
12	978	74310
13	1050	74011
14	1122	73726
15	1187	73004
16	1259	72852
17	1328	72452
18	1400	72314
19	1477	72411
20	1549	72236
21	1620	72047
22	1689	71764
23	1755	71394
24	1825	71203
25	1895	71021
26	1963	70773
27	2035	70654
28	2101	70373
29	2161	69878
30	2226	69599
31	2295	69453
32	2364	69292
33	2440	69326
34	2509	69184
35	2576	68993
36	2644	68819
37	2711	68655
38	2775	68391
39	2854	68498
40	2922	68366
41	2996	68352
42	3072	68386
43	3144	68314
44	3212	68170
45	3283	68094
46	3359	68118
47	3429	68024
48	3501	67956
49	3566	67772
50	3633	67619
51	3701	67478
52	3772	67404
53	3839	67264
54	3905	67103
55	3973	66982
56	4039	66831
57	4107	66709
58	4173	66566
59	4240	66432
60	4312	66382
61	4377	66228
62	4448	66157
63	4519	66102
64	4587	65992
65	4657	65913
66	4726	65821
67	4795	65720
68	4868	65683
69	4938	65607
70	5017	65649
71	5106	65813
72	5185	65851
73	5261	65840
74	5440	67094
75	5531	67254
76	5620	67373
77	5694	67312
78	5789	67498
79	5896	67805
80	5965	67684
81	6044	67671
82	6116	67571
83	6179	67383
84	6253	67315
85	6322	67199
86	6387	67027
87	6460	66956
88	6525	66799
89	6600	66741
90	6673	66658
91	6749	66611
92	6819	66505
93	6885	66367
94	6955	66258
95	7006	65973
96	7070	65822
97	7138	65701
98	7208	65608
99	7282	65539
100	7353	65454
101	7378	64962
102	7442	64816
103	7512	64724
104	7580	64614
105	7650	64524
106	7714	64381
107	7786	64314
108	7855	64216
109	7929	64159
110	7999	64064
111	8062	63920
112	8129	63814
113	8195	63697
114	8269	63637
115	8338	63542
116	8406	63445
117	8472	63326
118	8551	63309
119	8625	63254
120	8690	63133
121	8756	63021
122	8826	62936
123	8895	62842
124	8965	62761
125	9038	62697
126	9111	62635
127	9184	62568
128	9249	62450
129	9327	62421
130	9389	62286
131	9421	61954
132	9476	61776
133	9540	61659
134	9608	61563
135	9673	61457
136	9751	61425
137	9826	61381
138	9894	61291
139	9968	61236
140	10037	61149
141	10106	61065
142	10177	60990
143	10254	60956
144	10325	60883
145	10397	60819
146	10464	60724
147	10527	60606
148	10594	60508
149	10661	60415
150	10732	60341
151	10809	60308
152	10882	60243
153	10950	60157
154	11026	60112
155	11090	59999
156	11156	59906
157	11227	59831
158	11291	59726
159	11371	59702
160	11454	59689
161	11523	59608
162	11603	59584
163	11781	60055
164	11884	60141
165	11974	60159
166	12059	60151
167	12148	60161
168	12222	60098
169	12295	60032
170	12364	59943
171	12428	59830
172	12499	59752
173	12566	59654
174	12642	59599
175	12732	59610
176	12804	59538
177	12870	59437
178	12943	59364
179	13012	59281
180	13086	59216
181	13155	59128
182	13223	59034
183	13298	58974
184	13368	58892
185	13434	58791
186	13500	58692
187	13565	58589
188	13635	58509
189	13705	58428
190	13777	58354
191	13848	58279
192	13907	58150
193	13978	58075
194	14046	57985
195	14113	57892
196	14185	57823
197	14259	57758
198	14323	57655
199	14390	57560
200	14458	57474
201	14527	57391
202	14593	57294
203	14667	57232
204	14736	57150
205	14792	57015
206	14853	56904
207	14923	56825
208	14988	56727
209	15063	56667
210	15136	56598
211	15208	56530
212	15278	56450
213	15350	56379
214	15418	56294
215	15485	56207
216	15553	56123
217	15636	56090
218	15710	56026
219	15779	55944
220	15844	55848
221	15916	55780
222	15987	55706
223	16061	55642
224	16135	55578
225	16209	55512
226	16279	55434
227	16348	55354
228	16418	55278
229	16492	55214
230	16558	55121
231	16623	55029
232	16689	54938
233	16757	54856
234	16825	54772
235	16897	54702
236	16970	54635
237	17045	54573
238	17111	54485
239	17175	54390
240	17248	54320
241	17317	54241
242	17385	54159
243	17449	54063
244	17516	53979
245	17587	53905
246	17651	53812
247	17717	53724
