,column_name,shap_importance
112,A113,0.38886721121599954
421,A436,0.37996191789033334
111,A112,0.2212482907562299
86,A87,0.15171088734577337
99,A100,0.11947206855504007
437,A452,0.11919485343985325
350,A364,0.11741887122767451
91,A92,0.10438717958236096
41,A42,0.09764083000247083
43,A44,0.09670474953435397
357,A371,0.0946348291137585
16,A17,0.07487950678458798
269,A271,0.0742046438052376
73,A74,0.06648156994207656
108,A109,0.06305716981262297
344,A358,0.0552982037054087
95,A96,0.05289991594713241
52,A53,0.05183101936925303
100,A101,0.045587811355857745
51,A52,0.043405778265987495
117,A118,0.038602658243918106
101,A102,0.037831314671123856
102,A103,0.036316934483775334
124,A125,0.03608670307241708
429,A444,0.0343679406261411
53,A54,0.03204447320410612
127,A128,0.031238036718092693
89,A90,0.03053237085207162
126,A127,0.027430715555876343
83,A84,0.026325434935877603
433,A448,0.024066144167618382
425,A440,0.023350943596772786
90,A91,0.02320028857554993
87,A88,0.023104842432084834
412,A426,0.02300793511959395
424,A439,0.022101947248132178
120,A121,0.021346372413468585
347,A361,0.020862120659135164
426,A441,0.020690041831455234
434,A449,0.02050263181283519
430,A445,0.020110114399686758
114,A115,0.019410500686971394
428,A443,0.01914677824036114
0,A1,0.01891463180858341
96,A97,0.017855207180038562
78,A79,0.017556626074362487
422,A437,0.01635735537754004
119,A120,0.01604092220297223
206,A207,0.014860224371160555
50,A51,0.014225646867048589
423,A438,0.013926515045908482
12,A13,0.013814052510496808
431,A446,0.013522301738618516
103,A104,0.013202427676981515
122,A123,0.013057330678840118
109,A110,0.012579317161467023
84,A85,0.011995602094353077
59,A60,0.011141885513060596
74,A75,0.01093016084035296
432,A447,0.010652720025773723
107,A108,0.010574129123352977
116,A117,0.009050957407350263
92,A93,0.008517322508623222
436,A451,0.008223444198584966
123,A124,0.007673120448850297
106,A107,0.007210587846347404
118,A119,0.006894766495475941
42,A43,0.006853247312366073
293,A295,0.006847529153890322
121,A122,0.006820145515738154
88,A89,0.006650285516899875
29,A30,0.006510506867986445
435,A450,0.005976620902368399
77,A78,0.005253134864785079
98,A99,0.004751453424267616
361,A375,0.004730544563150214
75,A76,0.004701509064287759
346,A360,0.004698053045178067
54,A55,0.004287417894994927
427,A442,0.004136136158549027
110,A111,0.004011355600139394
24,A25,0.003963880697743857
14,A15,0.003901482174475345
130,A131,0.003494614268648598
63,A64,0.003110170393826928
94,A95,0.002794954149179866
56,A57,0.002726812769870041
104,A105,0.002495331042119365
128,A129,0.002479368584523238
36,A37,0.0024528267419882625
93,A94,0.0023190247159829065
136,A137,0.0023152347309994283
57,A58,0.0022976886306855173
21,A22,0.0021694462701533244
85,A86,0.0019811744095174
76,A77,0.00182370332878014
145,A146,0.0014060703104813218
131,A132,0.0013897109699837894
44,A45,0.0013561337630478688
398,A412,0.0011737423125595373
105,A106,0.0011635230500477405
64,A65,0.0011385546790045908
67,A68,0.00112651425526804
354,A368,0.0010932201789333876
3,A4,0.0010923028111785498
140,A141,0.001063728967697783
30,A31,0.0010599633090678157
79,A80,0.0010345694919072306
1,A2,0.0010235290672789559
157,A158,0.0009785766675800864
97,A98,0.0009211970370508896
17,A18,0.0009144520736417493
